p,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
nara,999.6,1138.5,1223.9,1353,1468.4,1545.8,1627.3,1708.1,1769,1887.6,1976.4,2018.9,2153.3,2295.8,2449,2753,2818,2774,2784,2834,2875,2945,2932,2907,2822,2835,2710,2685,2641,2687.4,2620.1,2595.4,2660.7,2554.7,2408.2,2419.3,2384.6,2371.6,2433.6,2446.2,2484.2,2501.6,2587.3,2631.5
wakayama,1032.7,1063.8,1177.1,1272.6,1316.2,1465.7,1632.6,1695.9,1556.1,1722.5,1834.5,1796.5,1851.2,1949,2035.3,2312,2427,2435,2461,2434,2481,2640,2603,2533,2534,2566,2499,2501,2535,2510.6,2672.3,2660.3,2660.7,2531.6,2393.7,2632.9,2706.6,2716.1,2801.8,2737.7,2754,2924.6,2798.7,2912.7
tottori,952.3,1058.7,1142.7,1236.7,1335,1421.9,1504.6,1614.5,1656.7,1727.9,1785.7,1849.4,1959.6,2053.3,2194.4,2473,2592,2579,2529,2638,2627,2704,2695,2603,2651,2658,2560,2442,2438,2400.1,2341.9,2422.3,2387,2310.1,2198.7,2103.4,2107.7,2153.6,2228,2228.2,2333.9,2370.9,2480.4,2515.3
shimane,821.6,920.2,983.1,1105.6,1155,1202.6,1290.1,1348.1,1412.8,1651.3,1693.8,1758.7,1899.1,2016.8,2104.5,2217,2375,2413,2401,2438,2441,2520,2535,2563,2533,2603,2509,2443,2387,2403.9,2356,2373.7,2456,2248.7,2264.7,2371.2,2408.3,2373.3,2430.7,2456.7,2592.1,2606.1,2639.9,2667.3
okayama,1075.5,1216.2,1288.7,1395.8,1463.4,1584.2,1693.2,1748.3,1845.9,1996,2076.9,2209.7,2228.3,2341.8,2610.3,2759,2975,3018,2965,2921,2981,2978,2852,2916,2858,2714,2729,2665,2629,2636.4,2763.2,2909.8,2921.8,2655.3,2534.4,2430.1,2580.9,2518.2,2640.9,2562.3,2756.2,2723.2,2824.4,2769.1
hiroshima,1203.5,1336.3,1452.7,1579.1,1658,1769.5,1833.4,1890.2,1948.1,2034.9,2120.5,2228,2346.4,2537.5,2724.7,2850,2966,3003,2965,2968,3017,3089,3046,3000,2979,3001,2871,2794,2849,2942.3,3003.5,2980.2,3103.3,2878.3,2684.6,2698.8,2798.8,2685,2756.4,2897.8,3043.7,3065.7,3147.7,3109.1
yamaguchi,1031.6,1118.3,1183,1278.4,1368.5,1483.8,1495.6,1582.3,1793.9,1896.9,1976.4,2020.4,2214.9,2352.9,2422.6,2540,2772,2887,2779,2792,2825,2922,2905,2830,2773,2844,2773,2828,2821,2844.9,2979.1,2924.5,3003.2,2842.4,2708,2836.8,2851.1,2812.2,2943,2996.1,2855.4,3096,3219.5,3198.5
tokushima,966.8,1059.5,1124,1266.3,1329.1,1436.7,1541.9,1591.8,1640.9,1734.3,1824,1874.8,2015.4,2163.7,2310.8,2462,2556,2606,2589,2658,2718,2765,2775,2783,2730,2749,2764,2728,2845,2823.9,2748.5,2756.5,2782.3,2650.2,2590.1,2733.6,2750,2688,2836.4,2895,2988.5,2950.8,3066,3092.4
kagawa,1064.4,1164.6,1274.1,1393.6,1537.8,1597.7,1675.9,1713.3,1757.8,1819,1963.5,2073.7,2104.1,2246.3,2402.8,2505,2651,2665,2638,2720,2790,2862,2879,2887,2755,2758,2722,2688,2649,2644,2624.6,2727.2,2740.9,2591.4,2551.2,2658.6,2804.4,2772.7,2795.2,2812.9,2910.8,2935.8,3009.5,3013.5
ehime,926.3,1064.4,1085.9,1221,1405.4,1392.7,1478.2,1534.1,1576.9,1691.6,1768.8,1819,1857.3,1986.6,2146.1,2248,2311,2367,2469,2547,2552,2677,2555,2514,2416,2461,2408,2312,2324,2442.8,2429.2,2553.4,2527.8,2335.8,2323.1,2364,2512.3,2314.7,2403,2436.9,2519.6,2598.4,2709.6,2658
kochi,926.8,1041.6,1155.3,1273.5,1371.5,1433.2,1520.4,1570.2,1582.4,1659,1705.3,1758.5,1816,1890.4,1977.7,2116,2258,2319,2325,2415,2431,2462,2414,2429,2349,2398,2311,2234,2238,2147.6,2100.6,2156.7,2113,2059.3,2017.5,2237.9,2289.4,2276.8,2390.9,2430.5,2520.3,2573.1,2627.2,2643.8
fukuoka,1043.2,1157.6,1308.7,1412.7,1575.7,1663.2,1749.3,1767.3,1796.4,1856.2,1917.9,1989.3,2095,2222.7,2357.4,2533,2608,2616,2647,2724,2701,2806,2815,2777,2699,2722,2644,2601,2629,2635.8,2713.8,2726.1,2808.3,2674.6,2626.1,2677,2674.5,2621.2,2661.2,2666.2,2759.9,2793.1,2878.4,2885.3
saga,922.8,1015.6,1167.2,1284.6,1336.3,1437.2,1512.7,1572.7,1629.4,1709.3,1757.2,1820.5,1890.7,1995.2,2118.4,2208,2293,2410,2433,2470,2532,2620,2584,2561,2585,2555,2452,2448,2479,2422.2,2468.1,2455,2608.7,2461.3,2271.8,2404.9,2346.2,2294.2,2353.9,2368,2538.7,2528.9,2604.4,2752.6
nagasaki,838,939.5,1058.6,1125.8,1143.3,1261.3,1374.3,1425.6,1476.6,1540.6,1616.2,1654.2,1739.8,1799.3,1956.3,2001,2074,2139,2191,2257,2313,2390,2362,2353,2298,2304,2248,2217,2187,2095.7,2125.1,2130.5,2219.8,2161.9,2155.3,2311.5,2314.1,2252.4,2254.9,2222.9,2428,2522.8,2577.3,2629.2
kumamoto,937.4,1045.9,1150,1251.5,1336.6,1452.4,1515.4,1572.2,1646.8,1742,1833.6,1883.5,1986.9,2088.7,2211.5,2231,2329,2359,2377,2455,2417,2509,2529,2439,2442,2519,2484,2422,2422,2243.8,2314.7,2332.1,2410.4,2257,2182.7,2244.5,2287.3,2287.8,2349,2347.5,2424,2533.3,2649.6,2667.4
oita,870.3,966,1101.9,1222.2,1299.4,1404.9,1462,1495.9,1587.5,1684.9,1736.2,1817.1,1942.6,2086.3,2257.5,2375,2484,2518,2551,2614,2664,2706,2778,2752,2710,2794,2637,2583,2647,2633.6,2611.7,2602.2,2648.7,2526.2,2289.6,2449.8,2395.9,2387.4,2399.8,2455.4,2607,2585.4,2686,2713.7
miyazaki,815,904.7,1015.2,1142.1,1203.2,1265.9,1336.5,1400.9,1391.4,1471.8,1537.1,1620.2,1728.7,1794.7,1906.4,2068,2152,2212,2216,2304,2330,2431,2450,2455,2458,2462,2363,2361,2347,2225.3,2163.8,2175.9,2222.4,2116,2068.3,2142.3,2146.7,2148.3,2247.7,2242.4,2317.9,2387.6,2445.6,2467.6
kagoshima,801.8,908.7,1021.6,1105.2,1150.7,1265.1,1341.2,1398.4,1452.5,1547.2,1616.9,1665.7,1740.2,1825.3,1930.3,2066,2151,2150,2161,2230,2230,2292,2278,2298,2304,2346,2277,2236,2239,2227.4,2282.8,2297.4,2388.4,2259.4,2207,2208.8,2228.9,2180.8,2257.8,2275.3,2364.5,2398.2,2511.5,2508.5
okinawa,826,875.1,946.2,1061.9,1152.9,1199.4,1291.2,1362.6,1428.7,1502.7,1601.3,1679.1,1734.7,1797.2,1906.3,1892,1964,2037,2081,2028,2033,2099,2099,2123,2113,2117,2076,2054,2042,1990.8,2027,2032.1,2052.3,2044.6,2044.9,1976.1,1981.8,1971.8,2054.4,2056.7,2191.3,2313.1,2346.8,2391
